indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	62.640850874	16081.574	16081.574	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	82.062420791	15639.353	15639.353	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022387	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1995.37	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	453	83.469145805	15620.941235294124	16623.338294117646	85.2839	0.988343	449	0	0	0	0	0	0	0	0	0.000249	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.40638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003132	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	25.3425	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999895	0.0	0.0	0.0	0.000105	0.0	0.0	0.0	0.0	
4	1842	84.46944473	15620.941235294124	17524.19123529412	84.9367	0.988296	1838	0	0	0	0	0	0	0	0	0.000545	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.40575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001309	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	317.988	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999992	0.0	0.0	0.0	8.0e-6	0.0	0.0	0.0	0.0	
5	2634	85.482573532	15620.941235294124	18355.720647058828	84.8468	0.988283	2630	0	0	0	0	0	0	0	0	0.000677	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.41832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	1811	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	400.621	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999993	0.0	0.0	0.0	7.0e-6	0.0	0.0	0.0	0.0	
6	3358	90.636019511	15620.941235294124	17867.117705882367	84.6878	0.988261	3354	0	0	0	0	0	0	0	0	0.0006	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.57124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002556	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	91.868	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999971	0.0	0.0	0.0	2.9e-5	0.0	0.0	0.0	0.0	
7	4888	91.636230982	15620.941235294124	17818.485352941178	83.7682	0.988133	4884	0	0	0	0	0	0	0	0	0.000393	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.5704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	3409	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	102.462	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999974	0.0	0.0	0.0	2.6e-5	0.0	0.0	0.0	0.0	
8	6186	92.636272976	15620.941235294124	17612.323588235296	83.6065	0.98811	6182	0	0	0	0	0	0	0	0	0.000914	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.5696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00171	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	741	0	0	0	0	0	0	0	0	4323	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	704	0	0	0	0	0	0	0	0	312.689	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999992	0.0	0.0	0.0	8.0e-6	0.0	0.0	0.0	0.0	
9	7323	93.662913074	15620.941235294124	17748.250058823534	83.4614	0.98809	7319	0	0	0	0	0	0	0	0	0.000199	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.5955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001584	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	888	0	0	0	0	0	0	0	0	5105	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	79.4189	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999967	0.0	0.0	0.0	3.3e-5	0.0	0.0	0.0	0.0	
10	8646	94.723628099	15620.941235294124	17758.705941176468	83.2854	0.988065	8642	0	0	0	0	0	0	0	0	0.000969	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.6553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001464	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	0	0	0	6038	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	996	0	0	0	0	0	0	0	0	451.987	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999994	0.0	0.0	0.0	6.0e-6	0.0	0.0	0.0	0.0	
11	9904	95.739001319	15620.941235294124	18044.353	83.1181	0.988041	9900	0	0	0	0	0	0	0	0	0.000802	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.6698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001381	0.0	0.0	0.0	19.3992	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	0	0	0	6887	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	1172	0	0	0	0	0	0	0	0	420.859	0.0	0.0	0.0	0.002657	0.0	0.0	0.0	0.0	0.999994	0.0	0.0	0.0	6.0e-6	0.0	0.0	0.0	0.0	
