indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	1	0.000242919	8197.86111111111	8197.86111111111	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	2	0.022496628	8197.86111111111	8197.86111111111	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	1376	1.022564768	8050.249999999999	8294.44444444444	99.8035	0.99003	1374	0	0	0	0	0	0	0	0	0.001541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	1046	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	2911.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	4425	2.022594428	8050.249999999999	8313.666666666662	99.6117	0.990011	4423	0	0	0	0	0	0	0	0	0.001465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	3310	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	7178.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	7507	3.022676751	8012.361111111106	8119.333333333325	99.4202	0.989992	7505	0	0	0	0	0	0	0	0	0.000281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	5467	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	602	0	0	0	0	0	0	0	0	1761.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	10641	4.03459153	7871.361111111109	8673.80555555555	99.2299	0.989973	10639	0	0	0	0	0	0	0	0	0.000701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	7627	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	4941.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	13858	5.036471681	7871.361111111109	8464.083333333327	99.0387	0.989954	13856	0	0	0	0	0	0	0	0	0.000596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.00821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17	0	0	0	0	0	0	0	0	1835	0	0	0	0	0	0	0	0	9809	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	1486	0	0	0	0	0	0	0	0	4562.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	17144	6.036487143	7663.666666666664	8176.000000000002	98.8455	0.989934	17142	0	0	0	0	0	0	0	0	0.000507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.00691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27	0	0	0	0	0	0	0	0	2273	0	0	0	0	0	0	0	0	12014	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	1972	0	0	0	0	0	0	0	0	4131.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	20295	7.036525321	7663.666666666664	8368.888888888889	98.6556	0.989915	20293	0	0	0	0	0	0	0	0	0.001138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.00563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27	0	0	0	0	0	0	0	0	2666	0	0	0	0	0	0	0	0	14199	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	2371	0	0	0	0	0	0	0	0	9550.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	23414	8.036595988	7663.666666666664	8434.750000000004	98.4659	0.989896	23412	0	0	0	0	0	0	0	0	0.000746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27	0	0	0	0	0	0	0	0	3112	0	0	0	0	0	0	0	0	16297	0	0	0	0	0	0	0	0	769	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	2782	0	0	0	0	0	0	0	0	6382.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
