indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	1	0.000183719	3370.2999999999997	3370.2999999999997	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	2	0.028646532	3370.2999999999997	3370.2999999999997	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	3175	1.028709875	3241.2999999999993	3540.999999999999	99.8024	0.99003	3173	0	0	0	0	0	0	0	0	0.001012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.998852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	2250	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	10215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	7756	2.028800714	3241.2999999999993	3673.849999999999	99.6107	0.990011	7754	0	0	0	0	0	0	0	0	0.001628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	1128	0	0	0	0	0	0	0	0	5361	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	24539.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	12373	3.028987886	3241.2999999999993	3978.3999999999983	99.4193	0.989992	12371	0	0	0	0	0	0	0	0	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	1794	0	0	0	0	0	0	0	0	8416	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	1566	0	0	0	0	0	0	0	0	8187.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	16990	4.029141954	3241.2999999999993	3944.2999999999984	99.2283	0.989973	16988	0	0	0	0	0	0	0	0	0.000754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	2434	0	0	0	0	0	0	0	0	11403	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	2291	0	0	0	0	0	0	0	0	13637.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	21648	5.029212639	3241.2999999999993	3505.299999999999	99.0377	0.989954	21646	0	0	0	0	0	0	0	0	0.000789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	3049	0	0	0	0	0	0	0	0	14447	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	3059	0	0	0	0	0	0	0	0	14825.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	26383	6.029277646	3241.2999999999993	3590.149999999999	98.8475	0.989934	26381	0	0	0	0	0	0	0	0	0.000506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	3680	0	0	0	0	0	0	0	0	17415	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	3929	0	0	0	0	0	0	0	0	9813.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	31252	7.029396041	3241.2999999999993	3699.349999999999	98.6576	0.989915	31250	0	0	0	0	0	0	0	0	0.000479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	4355	0	0	0	0	0	0	0	0	20625	0	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	4704	0	0	0	0	0	0	0	0	9570.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	36022	8.029559667	3241.2999999999993	3728.2	98.468	0.989896	36020	0	0	0	0	0	0	0	0	7.7e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	23732	0	0	0	0	0	0	0	0	1028	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	5493	0	0	0	0	0	0	0	0	1563.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	40880	9.029598602	3150.1999999999994	3659.1999999999994	98.2789	0.989876	40878	0	0	0	0	0	0	0	0	0.000424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.98585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13	0	0	0	0	0	0	0	0	5701	0	0	0	0	0	0	0	0	26889	0	0	0	0	0	0	0	0	1196	0	0	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	6237	0	0	0	0	0	0	0	0	8769.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	45752	10.033014229	3150.1999999999994	3454.0999999999995	98.0903	0.989857	45750	0	0	0	0	0	0	0	0	0.000672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.98752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13	0	0	0	0	0	0	0	0	6342	0	0	0	0	0	0	0	0	30029	0	0	0	0	0	0	0	0	1341	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	7071	0	0	0	0	0	0	0	0	14101.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
