indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	1	0.000230018	13443.95588235294	13443.95588235294	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	2	0.000463441	13443.95588235294	13443.95588235294	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24143e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	1154	1.000704125	13369.470588235294	14119.89705882353	99.807	0.990031	1152	0	0	0	0	0	0	0	0	0.000428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	568.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	2326	2.000971229	13369.470588235294	14010.970588235294	99.6144	0.990012	2324	0	0	0	0	0	0	0	0	0.001431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	1671	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	1933.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	3006	4.497224529	13369.470588235294	14596.514705882353	99.5406	0.990004	3004	0	0	0	0	0	0	0	0	0.000353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	157.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	4945	5.497366703	13369.470588235294	14518.750000000002	98.9438	0.989944	4943	0	0	0	0	0	0	0	0	0.000206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.49424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	3691	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	166.555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	6478	6.497467648	13369.470588235294	14770.764705882359	98.7529	0.989925	6476	0	0	0	0	0	0	0	0	0.000279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	773	0	0	0	0	0	0	0	0	4878	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	277.363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	8002	7.497828771	13369.470588235294	14771.426470588242	98.5623	0.989905	8000	0	0	0	0	0	0	0	0	8.6e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.49302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0	0	0	5988	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	97.8641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	9457	8.497925181	13369.470588235294	14479.808823529418	98.372	0.989886	9455	0	0	0	0	0	0	0	0	0.000938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.49235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1169	0	0	0	0	0	0	0	0	7046	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	1162.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	11155	9.498013456	13369.470588235294	14700.264705882359	98.1822	0.989867	11153	0	0	0	0	0	0	0	0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.49154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1362	0	0	0	0	0	0	0	0	8297	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	1311.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	12750	10.515169631	13369.470588235294	14919.441176470593	97.9985	0.989848	12748	0	0	0	0	0	0	0	0	0.000719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1567	0	0	0	0	0	0	0	0	9452	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	0	0	1058.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	14516	11.515346605	13369.470588235294	15330.352941176474	97.8003	0.989827	14514	0	0	0	0	0	0	0	0	0.001273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.5071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1767	0	0	0	0	0	0	0	0	10733	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	1282	0	0	0	0	0	0	0	0	2025.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
13	16276	12.515499731	13369.470588235294	14469.000000000011	97.6116	0.989808	16274	0	0	0	0	0	0	0	0	9.7e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1986	0	0	0	0	0	0	0	0	12023	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	1448	0	0	0	0	0	0	0	0	164.363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
14	18078	13.515673592	13369.470588235294	14792.941176470598	97.4232	0.989788	18076	0	0	0	0	0	0	0	0	8.0e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2204	0	0	0	0	0	0	0	0	13322	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	1656	0	0	0	0	0	0	0	0	142.948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
15	19911	14.51607321	13369.470588235294	14518.294117647072	97.2351	0.989768	19909	0	0	0	0	0	0	0	0	0.001486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2415	0	0	0	0	0	0	0	0	14624	0	0	0	0	0	0	0	0	633	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	1898	0	0	0	0	0	0	0	0	2799.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
