indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	1	0.029575738	8387.777777777777	8387.777777777777	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	2	0.030103899	8387.777777777777	8387.777777777777	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78684e6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	1399	1.030512246	8385.277777777777	8820.527777777776	99.802	0.99003	1397	0	0	0	0	0	0	0	0	0.000863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	1685.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	3904	2.030546638	8351.333333333328	8436.69444444444	99.61	0.990011	3902	0	0	0	0	0	0	0	0	0.033322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	2795	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	127014.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	6610	3.030661537	8090.694444444442	9010.472222222224	99.4185	0.989992	6608	0	0	0	0	0	0	0	0	8.0e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	4697	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	389.841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	9378	4.04295776	8090.694444444442	8845.055555555555	99.2276	0.989973	9376	0	0	0	0	0	0	0	0	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	1218	0	0	0	0	0	0	0	0	6675	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	2355.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	12167	5.043188453	8090.694444444442	9019.52777777778	99.0341	0.989953	12165	0	0	0	0	0	0	0	0	0.000322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.00732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	1622	0	0	0	0	0	0	0	0	8610	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	1186	0	0	0	0	0	0	0	0	1898.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	15042	6.04336107	8090.694444444442	9306.555555555557	98.8437	0.989934	15040	0	0	0	0	0	0	0	0	0.000744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.00617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	2048	0	0	0	0	0	0	0	0	10559	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	1545	0	0	0	0	0	0	0	0	4666.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	18116	7.043573912	8090.694444444442	8834.63888888889	98.6536	0.989915	18114	0	0	0	0	0	0	0	0	0.000671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.00509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	2435	0	0	0	0	0	0	0	0	12637	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	1958	0	0	0	0	0	0	0	0	4488.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	21156	8.054950361	8090.694444444442	8643.666666666666	98.4643	0.989895	21154	0	0	0	0	0	0	0	0	0.000733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.01513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0	0	0	0	0	0	0	0	2806	0	0	0	0	0	0	0	0	14691	0	0	0	0	0	0	0	0	737	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	2375	0	0	0	0	0	0	0	0	5102.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
