indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	1	0.026562431	3923.9	3927.4	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	2	0.026796205	3923.9	3927.4	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01229e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	3356	1.027028078	3793.6500000000015	4040.200000000002	99.8027	0.99003	3354	0	0	0	0	0	0	0	0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.998998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	2414	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	7665.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	8323	2.027262104	3793.6500000000015	4436.350000000004	99.611	0.990011	8321	0	0	0	0	0	0	0	0	9.6e-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	5806	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0	0	0	1674.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	13221	3.027389197	3698.500000000002	3712.150000000001	99.4196	0.989992	13219	0	0	0	0	0	0	0	0	0.001252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	1897	0	0	0	0	0	0	0	0	9161	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	1497	0	0	0	0	0	0	0	0	24375.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	18099	4.027482228	3614.5500000000006	4152.8499999999985	99.2285	0.989973	18097	0	0	0	0	0	0	0	0	0.001013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0	0	0	0	0	0	0	0	2636	0	0	0	0	0	0	0	0	12494	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	2095	0	0	0	0	0	0	0	0	20799.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	22816	5.027552646	3614.5500000000006	4370.25	99.0379	0.989954	22814	0	0	0	0	0	0	0	0	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0	0	0	0	0	0	0	0	3319	0	0	0	0	0	0	0	0	15643	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	2716	0	0	0	0	0	0	0	0	24215.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	27840	6.027577481	3614.5500000000006	4262.849999999999	98.8476	0.989934	27838	0	0	0	0	0	0	0	0	0.000199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0	0	0	0	0	0	0	0	3944	0	0	0	0	0	0	0	0	18866	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	3653	0	0	0	0	0	0	0	0	4290.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	32860	7.03039469	3614.5500000000006	3934.550000000001	98.6582	0.989915	32858	0	0	0	0	0	0	0	0	0.000812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0	0	0	0	0	0	0	0	4546	0	0	0	0	0	0	0	0	22148	0	0	0	0	0	0	0	0	966	0	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0	4543	0	0	0	0	0	0	0	0	17938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	37769	8.030449025	3614.5500000000006	4290.1500000000015	98.4676	0.989896	37767	0	0	0	0	0	0	0	0	0.001062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0	0	0	0	0	0	0	0	5247	0	0	0	0	0	0	0	0	25471	0	0	0	0	0	0	0	0	1115	0	0	0	0	0	0	0	0	721	0	0	0	0	0	0	0	0	5198	0	0	0	0	0	0	0	0	23730.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
