indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	18.360917253	3155.15	3155.15	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	34.37410062	2589.3	2589.3	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101501.0	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	2898	35.374132482	2589.3	3444.6999999999994	93.4248	0.989353	2894	0	0	0	0	0	0	0	0	0.000464	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.99882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000345	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	1766	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	72.4219	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999785	0.0	0.0	0.0	0.000215	0.0	0.0	0.0	0.0	
4	7665	36.374178153	2589.3	3557.6499999999996	93.2454	0.989333	7661	0	0	0	0	0	0	0	0	0.000898	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000261	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	0	0	0	4757	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	1604	0	0	0	0	0	0	0	0	213.385	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999927	0.0	0.0	0.0	7.3e-5	0.0	0.0	0.0	0.0	
5	12333	37.374369744	2589.3	3365.1499999999996	93.0662	0.989312	12329	0	0	0	0	0	0	0	0	0.000652	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000243	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	1702	0	0	0	0	0	0	0	0	7744	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	2383	0	0	0	0	0	0	0	0	172.262	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999909	0.0	0.0	0.0	9.1e-5	0.0	0.0	0.0	0.0	
6	17001	38.374477927	2589.3	3421.7500000000005	92.8874	0.989292	16997	0	0	0	0	0	0	0	0	0.000843	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.9935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000235	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	2372	0	0	0	0	0	0	0	0	10835	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	3107	0	0	0	0	0	0	0	0	234.08	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999933	0.0	0.0	0.0	6.7e-5	0.0	0.0	0.0	0.0	
7	21672	39.374670983	2589.3	3348.7	92.709	0.989272	21668	0	0	0	0	0	0	0	0	0.000892	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	3069	0	0	0	0	0	0	0	0	13923	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	3779	0	0	0	0	0	0	0	0	255.045	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999939	0.0	0.0	0.0	6.1e-5	0.0	0.0	0.0	0.0	
8	26417	40.374758679	2589.3	3288.249999999999	92.5309	0.989251	26413	0	0	0	0	0	0	0	0	0.001143	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000227	0.0	0.0	0.0	16.0127	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	3744	0	0	0	0	0	0	0	0	16980	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	4604	0	0	0	0	0	0	0	0	334.733	0.0	0.0	0.0	0.015606	0.0	0.0	0.0	0.0	0.999953	0.0	0.0	0.0	4.7e-5	0.0	0.0	0.0	0.0	
9	29274	221.044745461	2589.3	2747.25	92.4222	0.989238	29269	0	0	0	1	0	0	0	0	0.000601	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	6.5997	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	0.000225	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	4166	0	0	0	1	0	0	0	0	18906	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	4991	0	0	0	0	0	0	0	0	177.355	0.0	0.0	0.0	0.000373	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	2.0e-6	0.0	0.0	0.0	0.0	
10	33797	222.044926002	2589.3	3354.41	65.2514	0.984791	33792	0	0	0	1	0	0	0	0	0.000591	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	7.5978	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	0.000225	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	4763	0	0	0	1	0	0	0	0	21828	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	5671	0	0	0	0	0	0	0	0	175.165	0.0	0.0	0.0	0.000373	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	2.0e-6	0.0	0.0	0.0	0.0	
