indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	58.165308938	13777.294	13777.294	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	93.867884371	13101.382	13101.382	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032495	0.0	0.0	0.0	35.6701	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.716	0.0	0.0	0.0	0.004694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	707	95.731911705	13099.858470588224	13749.82964705881	83.3229	0.98807	703	0	0	0	0	0	0	0	0	0.00032	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.86336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002651	0.0	0.0	0.0	35.6701	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	2.3472	0.0	0.0	0.0	0.004694	0.0	0.0	0.0	0.0	0.998004	0.0	0.0	0.0	0.001996	0.0	0.0	0.0	0.0	
4	1403	246.168093437	13099.858470588224	13324.485	83.0294	0.988028	1398	0	0	0	1	0	0	0	0	0.00052	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	2.3239	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.001662	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	149	0	0	0	1	0	0	0	0	863	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	7.67424	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999936	0.0	0.0	0.0	6.4e-5	0.0	0.0	0.0	0.0	
5	1714	251.437821229	13099.858470588224	13244.207941176453	62.108	0.984028	1709	0	0	0	1	0	0	0	0	0.00026	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	7.5933	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.004443	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	188	0	0	0	1	0	0	0	0	1066	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0.877129	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999441	0.0	0.0	0.0	0.000559	0.0	0.0	0.0	0.0	
6	3083	252.438314064	13079.649117647044	13678.457941176459	61.3821	0.983841	3078	0	0	0	1	0	0	0	0	0.000255	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	8.59262	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.002792	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	313	0	0	0	1	0	0	0	0	2035	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	1.73063	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999717	0.0	0.0	0.0	0.000283	0.0	0.0	0.0	0.0	
7	4342	253.438828468	13079.649117647044	13847.737352941162	61.2634	0.98381	4337	0	0	0	1	0	0	0	0	0.000271	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	9.59206	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.002212	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	426	0	0	0	1	0	0	0	0	2898	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	0	2.60774	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999812	0.0	0.0	0.0	0.000188	0.0	0.0	0.0	0.0	
8	5611	254.491322657	13079.649117647044	13875.016764705864	61.1465	0.983779	5606	0	0	0	1	0	0	0	0	0.000279	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	10.6435	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.001899	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	577	0	0	0	1	0	0	0	0	3753	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	3.37384	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999855	0.0	0.0	0.0	0.000145	0.0	0.0	0.0	0.0	
9	6943	255.517661691	13079.649117647044	14468.560882352924	61.0252	0.983747	6938	0	0	0	1	0	0	0	0	0.000595	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	11.6688	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.001682	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	729	0	0	0	1	0	0	0	0	4652	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	990	0	0	0	0	0	0	0	0	8.61964	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999943	0.0	0.0	0.0	5.7e-5	0.0	0.0	0.0	0.0	
10	8281	256.544551853	13079.649117647044	14167.73735294116	60.9041	0.983715	8276	0	0	0	1	0	0	0	0	0.001066	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	12.6946	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	0.001534	0.0	0.0	0.0	149.975	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	874	0	0	0	1	0	0	0	0	5534	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	1203	0	0	0	0	0	0	0	0	17.7388	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.999972	0.0	0.0	0.0	2.8e-5	0.0	0.0	0.0	0.0	
