indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	83.579540789	2807.7	2807.7	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	263.638977853	2450.45	2450.45	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000378	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135860.0	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	3276	264.639013066	2415.6	3315.7999999999997	60.116	0.983503	3272	0	0	0	0	0	0	0	0	0.000476	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.998781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000305	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	2179	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	89.2479	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999995	0.0	0.0	0.0	5.0e-6	0.0	0.0	0.0	0.0	
4	7852	265.639023175	2415.6	3523.749999999999	60.0005	0.983472	7848	0	0	0	0	0	0	0	0	0.000321	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.9971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000254	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	996	0	0	0	0	0	0	0	0	5212	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	1145	0	0	0	0	0	0	0	0	79.0382	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999995	0.0	0.0	0.0	5.0e-6	0.0	0.0	0.0	0.0	
5	12520	266.639144069	2415.6	3303.3499999999985	59.8853	0.98344	12516	0	0	0	0	0	0	0	0	0.00031	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000239	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1609	0	0	0	0	0	0	0	0	8275	0	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	1848	0	0	0	0	0	0	0	0	83.8239	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999995	0.0	0.0	0.0	5.0e-6	0.0	0.0	0.0	0.0	
6	17096	267.639210129	2415.6	3815.6000000000004	59.7702	0.983408	17092	0	0	0	0	0	0	0	0	0.000819	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.9939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000234	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2248	0	0	0	0	0	0	0	0	11334	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	2413	0	0	0	0	0	0	0	0	229.391	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	2.0e-6	0.0	0.0	0.0	0.0	
7	21838	268.639331038	2415.6	3613.8499999999995	59.6554	0.983377	21834	0	0	0	0	0	0	0	0	0.001139	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.9923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000229	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2887	0	0	0	0	0	0	0	0	14457	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	329.497	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
8	26606	269.643038605	2415.6	3392.7499999999995	59.5408	0.983345	26602	0	0	0	0	0	0	0	0	0.000149	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000225	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	3509	0	0	0	0	0	0	0	0	17600	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	3841	0	0	0	0	0	0	0	0	43.9403	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999991	0.0	0.0	0.0	9.0e-6	0.0	0.0	0.0	0.0	
9	31337	270.643236396	2415.6	3184.4999999999995	59.4259	0.983313	31333	0	0	0	0	0	0	0	0	0.000347	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.99276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000223	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	4130	0	0	0	0	0	0	0	0	20829	0	0	0	0	0	0	0	0	1431	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	4431	0	0	0	0	0	0	0	0	104.044	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999996	0.0	0.0	0.0	4.0e-6	0.0	0.0	0.0	0.0	
10	36082	271.643342145	2415.6	3274.3999999999996	59.3118	0.983281	36078	0	0	0	0	0	0	0	0	0.000988	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.99113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	180.059	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	4810	0	0	0	0	0	0	0	0	23869	0	0	0	0	0	0	0	0	1639	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	5196	0	0	0	0	0	0	0	0	299.691	0.0	0.0	0.0	0.000414	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
