indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	72.294661956	13168.5	13168.5	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	102.293695623	12694.956	12694.956	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000465	0.0	0.0	0.0	29.9985	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2152.1	0.0	0.0	0.0	0.033335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	169	123.985818523	12688.511882352917	12737.544	82.0567	0.987887	164	0	0	0	1	0	0	0	0	0.000696	0.0	0.0	0.0	0.9005	0.0	0.0	0.0	0.0	0.091345	0.0	0.0	0.0	21.6006	0.0	0.0	0.0	0.0	0.000557	0.0	0.0	0.0	21.6006	0.0	0.0	0.0	0.0	5	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	90	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	1.24951	0.0	0.0	0.0	0.041689	0.0	0.0	0.0	0.0	0.967713	0.0	0.0	0.0	0.032287	0.0	0.0	0.0	0.0	
4	185	304.96617683	12164.294	12164.294	78.7022	0.987374	179	0	0	0	2	0	0	0	0	0.00045	0.0	0.0	0.0	0.91045	0.0	0.0	0.0	0.0	0.100253	0.0	0.0	0.0	202.572	0.0	0.0	0.0	0.0	0.00056	0.0	0.0	0.0	101.286	0.0	0.0	0.0	0.0	5	0	0	0	1	0	0	0	0	8	0	0	0	1	0	0	0	0	96	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0.803541	0.0	0.0	0.0	0.008989	0.0	0.0	0.0	0.0	0.988937	0.0	0.0	0.0	0.011063	0.0	0.0	0.0	0.0	
5	403	373.768809089	11333.618	11333.618	55.4679	0.982133	396	0	0	0	3	0	0	0	0	0.000903	0.0	0.0	0.0	0.919405	0.0	0.0	0.0	0.0	0.262659	0.0	0.0	0.0	271.212	0.0	0.0	0.0	0.0	0.000663	0.0	0.0	0.0	90.404	0.0	0.0	0.0	0.0	10	0	0	0	2	0	0	0	0	20	0	0	0	1	0	0	0	0	211	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	1.36067	0.0	0.0	0.0	0.01017	0.0	0.0	0.0	0.0	0.992581	0.0	0.0	0.0	0.007419	0.0	0.0	0.0	0.0	
6	558	399.467717761	11332.135647058803	11343.279	48.571	0.979622	550	0	0	0	4	0	0	0	0	0.000143	0.0	0.0	0.0	0.827964	0.0	0.0	0.0	0.0	0.365671	0.0	0.0	0.0	296.808	0.0	0.0	0.0	0.0	0.000665	0.0	0.0	0.0	74.202	0.0	0.0	0.0	0.0	12	0	0	0	2	0	0	0	0	27	0	0	0	2	0	0	0	0	301	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0.215527	0.0	0.0	0.0	0.011158	0.0	0.0	0.0	0.0	0.950776	0.0	0.0	0.0	0.049224	0.0	0.0	0.0	0.0	
7	564	432.108361893	11132.706	11132.706	46.2276	0.9786	555	0	0	0	5	0	0	0	0	0.000109	0.0	0.0	0.0	0.845168	0.0	0.0	0.0	0.0	0.37047	0.0	0.0	0.0	329.444	0.0	0.0	0.0	0.0	0.000668	0.0	0.0	0.0	65.8887	0.0	0.0	0.0	0.0	12	0	0	0	3	0	0	0	0	27	0	0	0	2	0	0	0	0	305	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0.163591	0.0	0.0	0.0	0.012827	0.0	0.0	0.0	0.0	0.927291	0.0	0.0	0.0	0.072709	0.0	0.0	0.0	0.0	
8	703	467.220648624	11111.001294117637	11126.059	43.3964	0.97722	693	0	0	0	6	0	0	0	0	0.00034	0.0	0.0	0.0	0.761151	0.0	0.0	0.0	0.0	0.454717	0.0	0.0	0.0	364.472	0.0	0.0	0.0	0.0	0.000656	0.0	0.0	0.0	60.7453	0.0	0.0	0.0	0.0	13	0	0	0	3	0	0	0	0	33	0	0	0	3	0	0	0	0	391	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0.518803	0.0	0.0	0.0	0.01253	0.0	0.0	0.0	0.0	0.976417	0.0	0.0	0.0	0.023583	0.0	0.0	0.0	0.0	
9	775	523.423450924	10681.132	10681.132	40.5539	0.975643	764	0	0	0	7	0	0	0	0	0.00306	0.0	0.0	0.0	0.785036	0.0	0.0	0.0	0.0	0.499683	0.0	0.0	0.0	420.629	0.0	0.0	0.0	0.0	0.000654	0.0	0.0	0.0	60.0899	0.0	0.0	0.0	0.0	14	0	0	0	4	0	0	0	0	40	0	0	0	3	0	0	0	0	431	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	4.67855	0.0	0.0	0.0	0.013064	0.0	0.0	0.0	0.0	0.997215	0.0	0.0	0.0	0.002785	0.0	0.0	0.0	0.0	
10	871	542.620441787	10680.664352941163	10762.132	36.3811	0.972887	859	0	0	0	8	0	0	0	0	0.001335	0.0	0.0	0.0	0.707033	0.0	0.0	0.0	0.0	0.558941	0.0	0.0	0.0	439.767	0.0	0.0	0.0	0.0	0.000651	0.0	0.0	0.0	54.9709	0.0	0.0	0.0	0.0	16	0	0	0	4	0	0	0	0	42	0	0	0	4	0	0	0	0	486	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	2.0522	0.0	0.0	0.0	0.012862	0.0	0.0	0.0	0.0	0.993772	0.0	0.0	0.0	0.006228	0.0	0.0	0.0	0.0	
