indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	62.787640647	16081.574	16081.574	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	81.943781363	15639.353	15639.353	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022134	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13719.9	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	403	83.180614318	15620.941235294124	16380.397117647059	85.3095	0.988346	399	0	0	0	0	0	0	0	0	0.000188	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.2365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003099	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	351.261	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	2.0e-6	0.0	0.0	0.0	0.0	
4	1775	84.180712838	15620.941235294124	17425.88241176471	84.9817	0.988302	1771	0	0	0	0	0	0	0	0	0.000679	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.23557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001262	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	1169	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	11999.0	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	2628	85.181636979	15620.941235294124	18349.720647058828	84.8175	0.988279	2624	0	0	0	0	0	0	0	0	0.000614	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.23579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001233	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	1807	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	11493.1	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	3251	89.979116005	15620.941235294124	17628.632411764716	84.7436	0.988269	3247	0	0	0	0	0	0	0	0	0.000515	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.03273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002474	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	2244	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	1691.25	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	4731	90.979427916	15620.941235294124	17684.14711764706	83.8721	0.988148	4727	0	0	0	0	0	0	0	0	0.000356	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.03185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001911	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	3289	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	2228.27	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	5982	91.979517738	15620.941235294124	17572.544176470587	83.7102	0.988125	5978	0	0	0	0	0	0	0	0	0.000452	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001678	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	4187	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	3923.24	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	7136	93.036909706	15620.941235294124	17797.36770588236	83.5602	0.988104	7132	0	0	0	0	0	0	0	0	0.000208	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001555	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	4977	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	2183.99	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	8430	94.083619536	15620.941235294124	17629.455941176464	83.3847	0.988079	8426	0	0	0	0	0	0	0	0	0.000363	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.1332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00144	0.0	0.0	0.0	19.134	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1012	0	0	0	0	0	0	0	0	5889	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	972	0	0	0	0	0	0	0	0	4608.85	0.0	0.0	0.0	0.000624	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
