indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	76.939223818	7915.889	7915.889	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	84.881113212	7854.444	7854.444	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000474	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04159e8	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	920	85.881564112	7670.780666666671	8350.252888888897	84.7689	0.988273	916	0	0	0	0	0	0	0	0	0.000803	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.00002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001092	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	20378.5	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	3828	86.881608382	7670.780666666671	8477.336222222231	84.6059	0.98825	3824	0	0	0	0	0	0	0	0	0.000506	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000523	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	2540	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	80964.6	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	6979	87.881881698	7670.780666666671	8702.836222222233	84.4432	0.988228	6975	0	0	0	0	0	0	0	0	0.000742	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	4612	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	0	0	0	193834.0	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	10097	88.882181134	7670.780666666671	8708.530666666677	84.2809	0.988205	10093	0	0	0	0	0	0	0	0	0.000699	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.99651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000396	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1275	0	0	0	0	0	0	0	0	6696	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	1455	0	0	0	0	0	0	0	0	223970.0	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	13168	89.88242721	7670.780666666671	8910.030666666678	84.1188	0.988182	13164	0	0	0	0	0	0	0	0	0.000267	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000379	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1669	0	0	0	0	0	0	0	0	8726	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	1854	0	0	0	0	0	0	0	0	95184.6	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	16434	90.882716309	7670.780666666671	8839.64177777779	83.9571	0.98816	16430	0	0	0	0	0	0	0	0	0.000641	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000365	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2090	0	0	0	0	0	0	0	0	10898	0	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	2320	0	0	0	0	0	0	0	0	252207.0	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	19805	91.882761989	7670.780666666671	8843.114000000012	83.7957	0.988137	19801	0	0	0	0	0	0	0	0	0.001126	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.99297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000353	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2488	0	0	0	0	0	0	0	0	13161	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	2805	0	0	0	0	0	0	0	0	480318.0	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	23183	92.883098489	7670.780666666671	8720.7528888889	83.6346	0.988114	23179	0	0	0	0	0	0	0	0	0.000299	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.99191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000345	0.0	0.0	0.0	7.94139	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2891	0	0	0	0	0	0	0	0	15437	0	0	0	0	0	0	0	0	892	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	3265	0	0	0	0	0	0	0	0	135670.0	0.0	0.0	0.0	0.005627	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
