indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	16.178431149	7163.361	7163.361	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	40.838647542	6643.0	6643.0	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000475	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03476e8	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	1040	41.928652412	6640.217777777777	7326.134444444447	92.2659	0.98922	1036	0	0	0	0	0	0	0	0	0.000472	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.08953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001052	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	13155.7	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	4470	42.928731384	6640.217777777777	8073.217777777784	92.0718	0.989198	4466	0	0	0	0	0	0	0	0	0.000333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.08815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000468	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	3041	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	70362.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	8051	43.928956079	6640.217777777777	8553.967777777783	91.8948	0.989177	8047	0	0	0	0	0	0	0	0	0.000506	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.08692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000384	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1056	0	0	0	0	0	0	0	0	5402	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	1137	0	0	0	0	0	0	0	0	175661.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	11617	44.934641932	6640.217777777777	8508.467777777783	91.7189	0.989156	11613	0	0	0	0	0	0	0	0	0.000767	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.09116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0	0	7738	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	1711	0	0	0	0	0	0	0	0	329331.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	15266	45.934793393	6640.217777777777	8331.439999999999	91.5408	0.989135	15262	0	0	0	0	0	0	0	0	0.000155	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.08986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000333	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1978	0	0	0	0	0	0	0	0	10184	0	0	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	2264	0	0	0	0	0	0	0	0	76420.5	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	18827	46.934993342	6640.217777777777	8444.134444444437	91.3649	0.989115	18823	0	0	0	0	0	0	0	0	0.00059	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.08864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000323	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2456	0	0	0	0	0	0	0	0	12650	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	2694	0	0	0	0	0	0	0	0	313763.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	22429	47.935179578	6640.217777777777	8396.85666666666	91.1892	0.989094	22425	0	0	0	0	0	0	0	0	0.000433	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.08741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000316	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2929	0	0	0	0	0	0	0	0	15160	0	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	3173	0	0	0	0	0	0	0	0	243632.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	26001	48.939824506	6640.217777777777	8338.690000000004	91.015	0.989073	25997	0	0	0	0	0	0	0	0	0.00063	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.09065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000311	0.0	0.0	0.0	24.6597	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	3420	0	0	0	0	0	0	0	0	17564	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	3697	0	0	0	0	0	0	0	0	368701.0	0.0	0.0	0.0	0.000331	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
