indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	224.303675916	16148.382	16148.382	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	244.179709735	16089.838	16089.838	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028972	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41122.7	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	423	245.180026679	16030.765647058823	16671.397999999994	62.2364	0.984061	419	0	0	0	0	0	0	0	0	5.7e-5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002387	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	4195.88	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	1215	246.180498951	16030.765647058823	17009.22152941176	62.1161	0.98403	1211	0	0	0	0	0	0	0	0	0.000306	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001651	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	67832.6	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	1791	251.924731324	16030.765647058823	17191.927411764696	62.0667	0.984017	1787	0	0	0	0	0	0	0	0	0.000529	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.74368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004333	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	1162	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	6505.99	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	3083	252.996225458	16030.765647058823	17224.9568235294	61.3245	0.983826	3079	0	0	0	0	0	0	0	0	0.00019	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.81419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002863	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	2096	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	8108.98	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	4396	253.996473942	16030.765647058823	17792.75094117646	61.1842	0.983789	4392	0	0	0	0	0	0	0	0	0.000435	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.81349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002234	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	3057	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	38999.8	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	5570	254.997117327	16030.765647058823	17934.456823529403	61.0659	0.983758	5566	0	0	0	0	0	0	0	0	0.000593	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.8133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001943	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	3910	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	80899.3	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	6720	256.028490671	16030.765647058823	17394.383294117637	60.9534	0.983728	6716	0	0	0	0	0	0	0	0	0.000502	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.8438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001764	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	742	0	0	0	0	0	0	0	0	4724	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	91507.2	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	7995	257.029246417	16030.765647058823	17791.809764705875	60.8263	0.983694	7991	0	0	0	0	0	0	0	0	0.000627	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.8437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001607	0.0	0.0	0.0	19.847	0.0	0.0	0.0	0.0	4	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	5656	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	151098.0	0.0	0.0	0.0	0.000128	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
