indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	8.230425366	6818.25	6818.25	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	11.982098424	6569.472	6569.472	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.026e10	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	1341	12.982403458	6354.484222222225	6808.206444444448	97.5333	0.989799	1337	0	0	0	0	0	0	0	0	0.000544	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000748	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	1.30115e6	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	4320	13.982618627	6354.484222222225	7486.817555555558	97.3458	0.98978	4316	0	0	0	0	0	0	0	0	0.000491	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000463	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	2772	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	831	0	0	0	0	0	0	0	0	4.94716e6	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	7765	14.982781238	6354.484222222225	7191.345333333336	97.1586	0.98976	7761	0	0	0	0	0	0	0	0	0.000307	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000386	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	998	0	0	0	0	0	0	0	0	4948	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	1498	0	0	0	0	0	0	0	0	5.33481e6	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	11355	15.983017856	6354.484222222225	7455.789777777781	96.9718	0.989741	11351	0	0	0	0	0	0	0	0	0.000726	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.99569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	1422	0	0	0	0	0	0	0	0	7196	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	2270	0	0	0	0	0	0	0	0	1.66482e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	14919	16.98307592	6354.484222222225	7089.595333333337	96.7854	0.989721	14915	0	0	0	0	0	0	0	0	0.000572	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000335	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	1832	0	0	0	0	0	0	0	0	9417	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	3075	0	0	0	0	0	0	0	0	1.52371e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	18455	17.983167493	6354.484222222225	6784.1786666666685	96.5994	0.989701	18451	0	0	0	0	0	0	0	0	0.000692	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000325	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	2248	0	0	0	0	0	0	0	0	11723	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	3747	0	0	0	0	0	0	0	0	2.01926e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	21894	18.983177407	6354.484222222225	7159.317555555558	96.4137	0.989682	21890	0	0	0	0	0	0	0	0	0.000998	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.99123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000319	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	2682	0	0	0	0	0	0	0	0	13964	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	4357	0	0	0	0	0	0	0	0	3.06333e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	25346	19.9832848	6354.484222222225	7271.234222222226	96.2284	0.989662	25342	0	0	0	0	0	0	0	0	0.001182	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.98982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000315	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	3071	0	0	0	0	0	0	0	0	16211	0	0	0	0	0	0	0	0	669	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	4972	0	0	0	0	0	0	0	0	3.77278e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	28752	20.984068849	6354.484222222225	7346.678666666671	96.0449	0.989642	28748	0	0	0	0	0	0	0	0	0.000799	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.98911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000313	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	3518	0	0	0	0	0	0	0	0	18453	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	5531	0	0	0	0	0	0	0	0	2.61277e7	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	32117	21.984461154	6354.484222222225	6891.650888888895	95.8602	0.989622	32113	0	0	0	0	0	0	0	0	0.00015	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.98792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000311	0.0	0.0	0.0	3.7512	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	3886	0	0	0	0	0	0	0	0	20687	0	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	6121	0	0	0	0	0	0	0	0	4.98935e6	0.0	0.0	0.0	0.018945	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
