indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	46.446367146	2864.6	2864.6	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	186.549162892	2599.65	2599.65	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000207	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1202e11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	3076	187.549344226	2527.5899999999997	3232.639999999999	69.7223	0.98576	3072	0	0	0	0	0	0	0	0	0.001028	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000325	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	1934	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	2.98883e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	7829	188.549370446	2527.5899999999997	3643.9399999999996	69.5883	0.985733	7825	0	0	0	0	0	0	0	0	0.001515	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000255	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	4873	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	1386	0	0	0	0	0	0	0	0	9.10676e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	12577	189.549513181	2527.5899999999997	3750.489999999999	69.4546	0.985705	12573	0	0	0	0	0	0	0	0	0.000381	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000238	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	7981	0	0	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	2098	0	0	0	0	0	0	0	0	2.81847e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	17296	190.54954149	2527.5899999999997	3367.3399999999992	69.3212	0.985678	17292	0	0	0	0	0	0	0	0	0.00111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.99433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000231	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	2406	0	0	0	0	0	0	0	0	11073	0	0	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	2790	0	0	0	0	0	0	0	0	9.00859e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	21837	191.549628353	2527.5899999999997	3327.8899999999994	69.188	0.985651	21833	0	0	0	0	0	0	0	0	0.001236	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000229	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	3047	0	0	0	0	0	0	0	0	14086	0	0	0	0	0	0	0	0	870	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	3440	0	0	0	0	0	0	0	0	1.03356e8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	26485	192.549817419	2527.5899999999997	3421.8399999999997	69.0551	0.985623	26481	0	0	0	0	0	0	0	0	0.000598	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000226	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	3689	0	0	0	0	0	0	0	0	17183	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	4072	0	0	0	0	0	0	0	0	5.16478e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	31055	193.549962848	2527.5899999999997	3323.139999999999	68.9224	0.985596	31051	0	0	0	0	0	0	0	0	0.000413	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.98984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000225	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	4337	0	0	0	0	0	0	0	0	20280	0	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	4633	0	0	0	0	0	0	0	0	3.6243e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	35687	194.550082781	2527.5899999999997	3434.4399999999987	68.79	0.985568	35683	0	0	0	0	0	0	0	0	0.000662	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.98832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224	0.0	0.0	0.0	140.103	0.0	0.0	0.0	0.0	2	0	0	0	0	0	0	0	0	5066	0	0	0	0	0	0	0	0	23246	0	0	0	0	0	0	0	0	1409	0	0	0	0	0	0	0	0	670	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	5.89805e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
