indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	74.133444119	16185.441	16185.441	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	95.795446508	15709.426	15709.426	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000601	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76997e6	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	288	97.342625462	15540.62541176472	16074.698941176483	83.0662	0.988034	284	0	0	0	0	0	0	0	0	0.000526	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.54696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005447	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	17.7205	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.99988	0.0	0.0	0.0	0.00012	0.0	0.0	0.0	0.0	
4	1601	98.343215366	15540.62541176472	17696.99305882354	82.6867	0.987979	1597	0	0	0	0	0	0	0	0	0.000507	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.54662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001595	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	199.412	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999989	0.0	0.0	0.0	1.1e-5	0.0	0.0	0.0	0.0	
5	2398	99.351364893	15540.62541176472	17520.801882352953	82.6001	0.987966	2394	0	0	0	0	0	0	0	0	0.000542	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.5542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001485	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	1645	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	245.802	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999991	0.0	0.0	0.0	9.0e-6	0.0	0.0	0.0	0.0	
6	3110	104.613779154	15540.62541176472	17493.507764705893	82.4483	0.987944	3106	0	0	0	0	0	0	0	0	0.000418	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.8161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002838	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	2138	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	51.9137	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999959	0.0	0.0	0.0	4.1e-5	0.0	0.0	0.0	0.0	
7	4665	105.614674213	15540.62541176472	17873.507764705897	81.5325	0.98781	4661	0	0	0	0	0	0	0	0	0.000537	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.81591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002106	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	3235	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	121.046	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999982	0.0	0.0	0.0	1.8e-5	0.0	0.0	0.0	0.0	
8	5939	106.614907501	15540.62541176472	18301.86070588236	81.375	0.987786	5935	0	0	0	0	0	0	0	0	0.000688	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.8153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001822	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	4129	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	207.155	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.99999	0.0	0.0	0.0	1.0e-5	0.0	0.0	0.0	0.0	
9	7104	107.615206234	15540.62541176472	18382.257764705908	81.2177	0.987763	7100	0	0	0	0	0	0	0	0	0.000861	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.8148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001664	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	794	0	0	0	0	0	0	0	0	4930	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	827	0	0	0	0	0	0	0	0	311.092	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999993	0.0	0.0	0.0	7.0e-6	0.0	0.0	0.0	0.0	
10	8362	108.615330253	15540.62541176472	18138.743058823547	81.0609	0.987739	8358	0	0	0	0	0	0	0	0	0.000648	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001533	0.0	0.0	0.0	21.6614	0.0	0.0	0.0	0.0	6	0	0	0	0	0	0	0	0	943	0	0	0	0	0	0	0	0	5811	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	969	0	0	0	0	0	0	0	0	275.721	0.0	0.0	0.0	0.002131	0.0	0.0	0.0	0.0	0.999992	0.0	0.0	0.0	8.0e-6	0.0	0.0	0.0	0.0	
