indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	20.721892858	6392.972	6392.972	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	32.413341082	6172.472	6172.472	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.045e7	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	2411	33.413577833	6172.472	7013.749777777775	93.7747	0.989393	2407	0	0	0	0	0	0	0	0	0.00044	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000415	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	1624	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	2551.0	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999997	0.0	0.0	0.0	3.0e-6	0.0	0.0	0.0	0.0	
4	3652	34.427663755	6172.472	7227.860888888886	93.6012	0.989373	3648	0	0	0	0	0	0	0	0	0.00042	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.01257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000552	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	2449	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	1380.62	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999995	0.0	0.0	0.0	5.0e-6	0.0	0.0	0.0	0.0	
5	7153	35.427686268	6172.472	6774.666444444443	93.4121	0.989352	7149	0	0	0	0	0	0	0	0	0.001034	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.01107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000421	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	878	0	0	0	0	0	0	0	0	4714	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	1181	0	0	0	0	0	0	0	0	5827.19	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
6	10820	36.433116861	6172.472	7252.110888888888	93.2333	0.989332	10816	0	0	0	0	0	0	0	0	0.000875	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.01499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000371	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	1355	0	0	0	0	0	0	0	0	7129	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	1776	0	0	0	0	0	0	0	0	6348.05	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
7	14594	37.433246034	6172.472	6963.5275555555545	93.0524	0.989311	14590	0	0	0	0	0	0	0	0	0.000645	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.01356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000344	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	1835	0	0	0	0	0	0	0	0	9554	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	2476	0	0	0	0	0	0	0	0	5460.53	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
8	18307	38.433327354	6172.472	7818.694222222219	92.8735	0.98929	18303	0	0	0	0	0	0	0	0	0.000701	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.01212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000328	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	2294	0	0	0	0	0	0	0	0	12004	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	3088	0	0	0	0	0	0	0	0	6498.48	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
9	22017	39.439283796	6172.472	7624.249777777777	92.6956	0.98927	22013	0	0	0	0	0	0	0	0	0.000652	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000319	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	2756	0	0	0	0	0	0	0	0	14490	0	0	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	3688	0	0	0	0	0	0	0	0	6420.82	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
10	25754	40.43937953	6172.472	7288.583111111108	92.5158	0.989249	25750	0	0	0	0	0	0	0	0	0.000317	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.01506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000311	0.0	0.0	0.0	11.6912	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	3213	0	0	0	0	0	0	0	0	16897	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	4354	0	0	0	0	0	0	0	0	3273.95	0.0	0.0	0.0	0.007316	0.0	0.0	0.0	0.0	0.999998	0.0	0.0	0.0	2.0e-6	0.0	0.0	0.0	0.0	
