indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	2.753031612	4114.8	4114.8	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	81.926767521	3277.7	3277.7	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000337	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81788e6	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	2766	82.926974964	3247.69	3900.3599999999983	85.2614	0.98834	2762	0	0	0	0	0	0	0	0	0.000745	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.999167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000362	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	1782	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	5691.18	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	7411	83.926988214	3247.69	3823.6599999999953	85.0977	0.988318	7407	0	0	0	0	0	0	0	0	0.000898	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	1068	0	0	0	0	0	0	0	0	4798	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	1121	0	0	0	0	0	0	0	0	12341.8	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	12058	84.927041594	3247.69	4192.409999999997	84.9342	0.988295	12054	0	0	0	0	0	0	0	0	0.000963	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000249	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	1751	0	0	0	0	0	0	0	0	7818	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	0	0	0	15597.5	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	16661	85.927110653	3247.69	3815.5099999999998	84.771	0.988273	16657	0	0	0	0	0	0	0	0	0.001008	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.99418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	2453	0	0	0	0	0	0	0	0	10766	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	2511	0	0	0	0	0	0	0	0	17529.7	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	21311	86.927318868	3247.69	3796.9599999999973	84.6082	0.98825	21307	0	0	0	0	0	0	0	0	0.001201	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000234	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	3180	0	0	0	0	0	0	0	0	13827	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	3134	0	0	0	0	0	0	0	0	21869.3	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	25960	87.927397002	3247.69	3926.8599999999974	84.4456	0.988228	25956	0	0	0	0	0	0	0	0	0.000725	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000231	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	3916	0	0	0	0	0	0	0	0	16887	0	0	0	0	0	0	0	0	1019	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	3777	0	0	0	0	0	0	0	0	13610.5	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	30641	88.927482347	3247.69	4012.259999999995	84.2834	0.988205	30637	0	0	0	0	0	0	0	0	0.001598	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.98939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000228	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	4636	0	0	0	0	0	0	0	0	20042	0	0	0	0	0	0	0	0	1174	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	4385	0	0	0	0	0	0	0	0	30710.9	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	35326	89.927556761	3247.69	4100.109999999995	84.1215	0.988183	35322	0	0	0	0	0	0	0	0	0.000469	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.98775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000226	0.0	0.0	0.0	79.1734	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	5313	0	0	0	0	0	0	0	0	23205	0	0	0	0	0	0	0	0	1348	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	4981	0	0	0	0	0	0	0	0	9171.41	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
